offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
-7.826086956521749016e+01,6.000000000000000000e+02,-4.960880726886335879e+02,-7.160574997844765477e+00,-4.611770516730871350e+00,-4.611770516730871350e+00,-4.943128728400287173e+02,-4.943128728400287173e+02,-4.296003719055988768e+00,-4.296003719055988768e+00,-6.907992561888718797e+00
-2.347826086956522147e+02,6.000000000000000000e+02,-4.958640745662819427e+00,-4.958640745662819427e+00,-4.939775462308188025e+02,-4.939775462308188025e+02,-4.967027385972243678e+02,-6.522821849813435158e+00,-6.269671975913111872e+00,-4.615164012043123876e+00,-4.615164012043123876e+00
-3.913043478260869961e+02,6.000000000000000000e+02,-5.874686878506274468e+00,-5.874686878506274468e+00,-4.935335027263980692e+02,-4.935335027263980692e+02,-4.967172628981948037e+02,-5.564292291993434780e+00,-5.358752802531947523e+00,-5.070623598734073312e+00,-5.070623598734073312e+00
-5.478260869565215216e+02,6.000000000000000000e+02,-6.457609133007849778e+00,-6.457609133007849778e+00,-4.937099519168993993e+02,-4.937099519168993993e+02,-4.641490231035301228e+00,-4.961213220691507786e+02,-5.500258091788396086e+00,-5.500258091788396086e+00,-4.499483816421848914e+00
-7.043478260869565020e+02,6.000000000000000000e+02,-6.857353967514654869e+00,-6.857353967514654869e+00,-4.941104116253642360e+02,-4.941104116253642360e+02,-4.952600005859500811e+02,-5.843601301462399533e+00,-5.843601301462399533e+00,-3.902402628295704279e+00,-3.812797397074003669e+00
-8.608695652173914823e+02,6.000000000000000000e+02,-7.140502613892749650e+00,-7.140502613892749650e+00,-4.945108383153502700e+02,-4.945108383153502700e+02,-4.944421687323950891e+02,-3.353083809117909819e+00,-6.100896451540620546e+00,-6.100896451540620546e+00,-3.298207096918180259e+00
-1.017391304347826008e+03,6.000000000000000000e+02,-7.343792122700961045e+00,-7.343792122700961045e+00,-4.948361818183522587e+02,-4.948361818183522587e+02,-2.953121904412989718e+00,-4.937848646134804085e+02,-6.290366068219782392e+00,-6.290366068219782392e+00,-2.919267863561413989e+00
-1.173913043478260988e+03,6.000000000000000000e+02,-7.492040308890027589e+00,-7.492040308890027589e+00,-4.950817610507389190e+02,-4.950817610507389190e+02,-4.932897280595207690e+02,-6.430403446819525470e+00,-6.430403446819525470e+00,-2.660603621224360005e+00,-2.639193106361803487e+00
-1.330434782608695514e+03,6.000000000000000000e+02,-7.602123074255587198e+00,-7.602123074255587198e+00,-4.952633634568007892e+02,-4.952633634568007892e+02,-4.929234418568598244e+02,-6.535223757625658436e+00,-6.535223757625658436e+00,-2.443519481027540241e+00,-2.429552484746313912e+00
-1.486956521739130721e+03,6.000000000000000000e+02,-7.685410833454966451e+00,-7.685410833454966451e+00,-4.953979692983278369e+02,-4.953979692983278369e+02,-4.926516544526532471e+02,-6.614941853001255367e+00,-6.614941853001255367e+00,-2.279519683780768968e+00,-2.270116293995140033e+00
-1.643478260869565247e+03,6.000000000000000000e+02,-7.749577767618234247e+00,-7.749577767618234247e+00,-4.954989368330898287e+02,-4.954989368330898287e+02,-2.153364959572996895e+00,-4.924475402390088448e+02,-6.676578542361312429e+00,-6.676578542361312429e+00,-2.146842915278930786e+00
